Id,Label,Entropy,TE
1,Aerococcaceae,0.872054,18.996940
2,Alcaligenaceae,0.802450,14.604718
3,Bacillaceae,0.987772,8.286267
4,Bacteroidaceae,0.524309,12.263905
5,Carnobacteriaceae,0.872054,18.996940
6,Chloroplast,0.988146,15.421024
7,Clostridiaceae,0.912067,6.389144
8,Clostridiales_incertae_sedis_XIII,0.875071,7.625465
9,Clostridiales_incertae_sedis_XIV,0.869146,7.198005
10,Comamonadaceae,0.923619,11.079997
11,Coriobacteriaceae,0.927801,10.229437
12,Desulfovibrionaceae,0.848768,7.621308
13,Enterobacteriaceae,0.861096,12.340963
14,Erysipelotrichaceae,0.878048,4.291537
15,Eubacteriaceae,0.870327,5.885504
16,Fusobacteriaceae,0.808123,18.504414
17,Halomonadaceae,0.820905,19.782849
18,Lachnospiraceae,0.759576,7.804292
19,Lactobacillaceae,0.799617,20.465750
20,Leuconostocaceae,0.870554,9.166982
21,Micrococcaceae,0.892645,13.779906
22,Moraxellaceae,0.683414,13.414313
23,Neisseriaceae,0.853098,26.402266
24,Oxalobacteraceae,0.927130,5.352080
25,Pasteurellaceae,0.914441,11.743951
26,Porphyromonadaceae,0.627376,4.175770
27,Prevotellaceae,0.530722,13.053492
28,Rikenellaceae,0.526889,10.678608
29,Ruminococcaceae,0.649586,6.317221
30,Streptococcaceae,0.812033,12.596250
31,Synergistaceae,0.802702,10.220127
32,uc_Alphaproteobacteria,0.845578,7.547313
33,uc_Bacteria,0.600915,15.424947
34,uc_Bacteroidales,0.576643,9.871906
35,uc_Bacteroidetes,0.788095,14.521540
36,uc_Betaproteobacteria,0.774196,11.484654
37,uc_Burkholderiales,0.950328,4.508883
38,uc_Clostridia,0.645405,8.214402
39,uc_Clostridiales,0.660413,10.894472
40,uc_Firmicutes,0.879623,5.593412
41,uc_Proteobacteria,0.902809,5.037605
42,Veillonellaceae,0.928944,10.256847
43,Verrucomicrobiaceae,0.863675,6.455958
44,Victivallaceae,0.974915,8.853321
45,Campylobacteraceae,1.000000,18.304006
46,Peptostreptococcaceae,0.905123,10.159689
47,Staphylococcaceae,1.000000,18.304006
